"Reset","Reset"
"System","Sistema"
"Import","Importa"
"Save Currency Rates","Salva tassi di cambio"
"Manage Currency Rates","Gestisci tassi di cambio"
"Import Service","Servizio di importazione"
"Save Currency Symbols","Salva simboli valuta"
"Currency Symbols","Simboli valuta"
"Use Standard","Utilizza standard"
"Currency Rates","Tassi di cambio"
"Please specify a correct Import Service.","Specificare un servizio di importazione corretto."
"We can't initialize the import model.","Non ̬ possibile inizializzare il modello di importazione."
"All possible rates were fetched, please click on ""Save"" to apply","Tutte le tariffe possibili sono stati recuperati, premere su ""Salva"" per applicare"
"All rates were fetched, please click on ""Save"" to apply","Tutte le tariffe sono stati recuperati, premere su ""Salva"" per applicare"
"Please correct the input data for %1 => %2 rate","Correggere i dati in ingresso per la tariffa %1 => %2"
"All valid rates have been saved.","Tutte le tariffe valide sono state salvate."
"The custom currency symbols were applied.","I simboli personalizzati per le valute sono stati salvati"
"Currency","Valuta"
"Symbol","Simbolo"
"Old rate:","Vecchia tariffa:"
