"All Store Views","Tutte le viste negozio"
"-- Please Select --","-- Selezionare --"
"Admin","Admin"
"Store with the same code","Negozio con lo stesso codice"
"Website with the same code","Sito web con lo stesso codice"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Il codice del sito web deve contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera."
"Name is required","Il nome ̬ obbligatorio"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_),' ' the first character must be a letter","Il codice del negozio deve contenere solo lettere (a-z), numeri (0-9) o underscore(_),' ' il primo carattere deve essere una lettera."
"Your Language:","La tua lingua:"
"Your Language","La tua lingua"
"Language","Lingua"
"Select Store","Seleziona negozio"
