"Action","Azione"
"Tax","Tassa"
"Website","Sito web"
"All Websites","Tutti i siti web"
"Add Tax","Aggiungi tassa"
"Delete Tax","Elimina tassa"
"We found a duplicate of website, country and state fields for a fixed product tax","Ãˆ stato trovato un duplicato del sito web, i campo paese e stato per una tassa fissa per il prodotto"
"Including FPT only","Includendo solo FPT"
"Including FPT and FPT description","Includendo FPT e descrizione FPT"
"Excluding FPT, FPT description, final price","Escludendo FPT, descrizione FPT, prezzo finale"
"Excluding FPT","Escludendo FPT."
"Fixed Product Tax","Tassa fissa prodotto"
"Country/State","Paese/stato"
"Fixed Product Taxes","Tasse fisse prodotto"
"Enable FPT","Abilita FPT"
"Display Prices In Product Lists","Mostra i prezzi nelle liste prodotto"
"Display Prices On Product View Page","Mostra i prezzi nella pagina di visualizzazione del prodotto"
"Display Prices In Sales Modules","Mostra prezzi nei moduli di vendita"
"Display Prices In Emails","Mostra i prezzi nelle email"
"Apply Tax To FPT","Applica tassa a FPT"
"Include FPT In Subtotal","Includi FPT nel subtotale"
"FPT","FPT"
